RVOL,Target%,Stop%,MaxHold,Trades,WinRate,AvgWin,AvgLoss,FinalEquity,PnL%,Interval
3.5,0.005,-0.003,30,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.5,0.005,-0.003,15,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.0,0.008,-0.003,15,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.0,0.005,-0.007,30,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.0,0.005,-0.007,15,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.0,0.008,-0.005,30,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.0,0.008,-0.005,15,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.0,0.008,-0.003,30,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.5,0.005,-0.005,15,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.5,0.005,-0.007,15,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.5,0.005,-0.007,30,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.5,0.008,-0.003,15,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.5,0.008,-0.003,30,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.0,0.01,-0.005,30,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.0,0.01,-0.007,30,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.0,0.01,-0.007,15,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.5,0.01,-0.005,30,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.5,0.01,-0.003,30,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.5,0.01,-0.007,30,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.5,0.01,-0.005,15,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.5,0.01,-0.007,15,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.5,0.008,-0.005,15,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.5,0.008,-0.005,30,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.5,0.005,-0.005,30,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.5,0.01,-0.003,15,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.5,0.008,-0.007,30,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
3.5,0.008,-0.007,15,1,100.0,0.2652072160131936,0.0,100265.2072160132,0.2652072160131938,30m
