RVOL,Target%,Stop%,MaxHold,Trades,WinRate,AvgWin,AvgLoss,FinalEquity,PnL%
3.5,0.01,-0.007,30,6,33.33333333333333,0.8833153493617046,-0.4286888395132571,100039.24408679854,0.03924408679854241
2.5,0.008,-0.007,45,10,50.0,0.4230352056203439,-0.5431694484192464,99926.57072501906,-0.07342927498093924
3.0,0.008,-0.007,45,8,50.0,0.5082181687506168,-0.5431694484192464,99844.39543969055,-0.15560456030945352
2.5,0.01,-0.005,45,10,40.0,0.6269922040221978,-0.5597027892229738,99686.53357065382,-0.31346642934618285
3.0,0.01,-0.005,45,8,37.5,0.808555154329846,-0.5597027892229738,99604.55568148836,-0.39544431851163975
3.0,0.005,-0.007,45,8,50.0,0.4229107077712863,-0.5431694484192464,99506.66610746142,-0.493333892538576
2.5,0.01,-0.003,45,10,40.0,0.6269922040221978,-0.5967394261061918,99501.70436083224,-0.49829563916775804
2.5,0.005,-0.005,45,10,50.0,0.4625284299410334,-0.5597027892229738,99498.01923423665,-0.50198076576335
3.5,0.005,-0.007,15,6,50.0,0.19700212561901265,-0.3726856424845531,99470.1995692875,-0.5298004307124938
3.5,0.008,-0.003,15,6,50.0,0.19700212561901265,-0.3726856424845531,99470.1995692875,-0.5298004307124938
3.5,0.005,-0.005,15,6,50.0,0.19700212561901265,-0.3726856424845531,99470.1995692875,-0.5298004307124938
3.5,0.008,-0.007,15,6,50.0,0.19700212561901265,-0.3726856424845531,99470.1995692875,-0.5298004307124938
3.5,0.005,-0.003,15,6,50.0,0.19700212561901265,-0.3726856424845531,99470.1995692875,-0.5298004307124938
3.5,0.01,-0.007,15,6,50.0,0.19700212561901265,-0.3726856424845531,99470.1995692875,-0.5298004307124938
3.5,0.008,-0.005,15,6,50.0,0.19700212561901265,-0.3726856424845531,99470.1995692875,-0.5298004307124938
3.5,0.01,-0.005,15,6,50.0,0.19700212561901265,-0.3726856424845531,99470.1995692875,-0.5298004307124938
3.5,0.01,-0.003,15,6,50.0,0.19700212561901265,-0.3726856424845531,99470.1995692875,-0.5298004307124938
3.0,0.01,-0.003,45,8,37.5,0.808555154329846,-0.5967394261061918,99419.87846720654,-0.5801215327934625
2.5,0.005,-0.003,45,10,50.0,0.4625284299410334,-0.5967394261061918,99313.53954961764,-0.6864604503823648
2.5,0.008,-0.005,45,10,40.0,0.5037149580870192,-0.5597027892229738,99201.80760386314,-0.7981923961368592
2.5,0.005,-0.007,30,10,30.0,0.6981623160569721,-0.41300651992548215,99190.07689198117,-0.8099231080188328
3.0,0.008,-0.005,45,8,37.5,0.6441854930829414,-0.5597027892229738,99120.228332346,-0.8797716676540004
2.5,0.008,-0.003,45,10,40.0,0.5037149580870192,-0.5967394261061918,99017.87712644013,-0.9821228735598706
3.0,0.008,-0.003,45,8,37.5,0.6441854930829414,-0.5967394261061918,98936.44911138412,-1.0635508886158787
2.5,0.005,-0.003,15,11,45.45454545454545,0.29190596656069095,-0.4275901115724239,98888.54901247473,-1.1114509875252696
2.5,0.005,-0.007,15,11,45.45454545454545,0.29190596656069095,-0.4275901115724239,98888.54901247473,-1.1114509875252696
2.5,0.005,-0.005,15,11,45.45454545454545,0.29190596656069095,-0.4275901115724239,98888.54901247473,-1.1114509875252696
